invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-32810600030,12/17/2020,5107,Kum & Go #4098 / Windsor Heights,7229 University Ave,Windsor Heights,50311,,77,Polk,1012400,Irish Whiskies,370,PERNOD RICARD USA,15626,Jameson,12,750,16.49,24.74,1,24.74,0.75,0.19
INV-42265800032,11/23/2021,5307,Fareway Stores #167/Johnston,6005 Merle Hay Road,Johnston,50131,POINT (-93.697658 41.670127),77,POLK,1081200,Cream Liqueurs,300,McCormick Distilling Co.,65204,Tequila Rose Liqueur Mini,6,50,4.3,6.45,1,6.45,0.05,0.01
INV-39193200047,8/13/2021,2607,Hy-Vee Wine and Spirits / Shenandoah,520 So Fremont,Shenandoah,51601,POINT (-95.385111 40.761736),73,PAGE,1071100,Cocktails /RTD,395,PROXIMO,59193,Jose Cuervo Authentic Cherry Limeade,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-40598700014,10/1/2021,4067,Freeman Foods,268 8th Ave,Wellman,52356,POINT (-91.837922 41.465008),92,WASHINGTON,1062400,Spiced Rum,260,DIAGEO AMERICAS,43316,Captain Morgan Private Stock,12,750,11.99,17.99,2,35.98,1.5,0.39
INV-39714600014,8/31/2021,4978,Prime Mart / Waterloo,3535 Marigold Dr,Waterloo,50702,POINT (-92.291335 42.435434),7,BLACK HAWK,1011100,Blended Whiskies,297,Laird & Company,23826,Five Star,12,750,3.5,5.25,12,63,9,2.37
INV-33881100002,1/29/2021,6045,Kum & Go #3156 / Clive,15590 Hickman Rd,Clive,50325,POINT (-93.833455 41.614719),77,POLK,1031100,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,19,28.5,2,57,3.5,0.92
INV-34169100012,2/9/2021,5691,Logan Ave Convenience Store / Waterloo,735 Logan Ave,Waterloo,50703,POINT (-92.337744 42.510453),7,BLACK HAWK,1051100,American Brandies,421,SAZERAC COMPANY  INC,53218,Paul Masson Grande Amber Brandy VS,6,1750,12.82,19.23,6,115.38,10.5,2.77
INV-37116600004,6/2/2021,4253,Fareway Stores #683 / Winterset,719 W Hwy 92,Winterset,50273,POINT (-94.022239 41.344866),61,MADISON,1031100,American Vodkas,195,Swell Liquor LLC,38056,Swell Vodka,12,750,6,9,3,27,2.25,0.59
INV-37219400046,6/5/2021,3868,Wal-Mart 3630 / Marion,5491 Business Hwy 151,Marion,52302,,57,LINN,1071100,Cocktails /RTD,395,PROXIMO,58868,Jose Cuervo Authentic Strawberry Margarita,6,1750,8.74,13.11,12,157.32,21,5.54
INV-32913000061,12/22/2020,6088,New Starr / Fort Dodge,1923 5th Ave S,Fort Dodge,50501,POINT (-94.170859 42.501169),94,WEBSTER,1051100,American Brandies,205,E & J Gallo Winery,52580,E & J VSOP,24,200,2.5,3.75,6,22.5,1.2,0.31
INV-39376100050,8/19/2021,2652,Hy-Vee DrugStore / Mason City,875  4th St SW,Mason City,50401,POINT (-93.213856 43.148257),17,CERRO GORD,1081200,Cream Liqueurs,259,Heaven Hill Brands,68126,Carolans Irish Cream,12,750,9.5,14.25,3,42.75,2.25,0.59
INV-36837500011,5/21/2021,2553,Hy-Vee Food Store / Creston,600 Sheldon,Creston,50801,POINT (-94.372552 41.051462),88,UNION,1071100,Cocktails /RTD,395,PROXIMO,58872,Jose Cuervo Authentic Light Lime Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-40827400003,10/8/2021,5145,South Side Food Mart,1101 Army Post Rd,Des Moines,50315,POINT (-93.628783 41.526511),77,POLK,1031100,American Vodkas,300,McCormick Distilling Co.,36903,McCormick 80prf Vodka,48,200,1.13,1.7,48,81.6,9.6,2.53
INV-37879100031,6/28/2021,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 Johnson Avenue, N.W.",Cedar Rapids,52405,POINT (-91.697941 41.97447),57,LINN,1041200,Flavored Gin,370,PERNOD RICARD USA,33256,Seagrams Lime Twisted Gin,12,750,6.49,9.74,12,116.88,9,2.37
INV-37951800027,6/30/2021,4161,Fareway Stores #950 / Iowa City,2530 Westwinds Dr,Iowa City,52246,POINT (-91.575636 41.650842),52,JOHNSON,1011100,Blended Whiskies,297,Laird & Company,23826,Five Star,12,750,3.5,5.25,3,15.75,2.25,0.59
INV-38117300011,7/7/2021,5113,"Ray's Supermarket, Inc.",1975 Franklin St,Waterloo,50703,POINT (-92.315215 42.495394),7,BLACK HAWK,1022200,100% Agave Tequila,35,BACARDI USA INC,89626,Patron Reposado,12,750,28.5,42.75,3,128.25,2.25,0.59
INV-38535600043,7/21/2021,4665,Casey's General Store #2896 / Ankeny,2601 SE Creekview Dr,Ankeny,50021,POINT (-93.57152 41.703813),77,POLK,1022100,Mixto Tequila,395,PROXIMO,89199,Jose Cuervo Especial Reposado Square,12,375,6,9,3,27,1.12,0.29
INV-33200800003,1/4/2021,5846,Rockingham Liquor - Davenport,2423 Rockingham Road,Davenport,52802,POINT (-90.613625 41.514051),82,SCOTT,1051100,American Brandies,205,E & J Gallo Winery,52582,E & J VSOP,12,750,7.24,10.86,12,130.32,9,2.37
